season,week,tm_id,tm,tm_score,opp_score,opp_id,opp,result,win_loss,season_type
2020,4,12,Randal,155.2,115.42,8,Hosta,1,W,Regular
2020,4,12,Randal,155.2,115.42,8,Hosta,1,W,Regular
2020,4,9,Naad,132.42,126,5,Patrick,1,W,Regular
2020,4,9,Naad,132.42,126,5,Patrick,1,W,Regular
2020,4,8,Hosta,115.42,155.2,12,Randal,0,L,Regular
2020,4,8,Hosta,115.42,155.2,12,Randal,0,L,Regular
2020,4,5,Patrick,126,132.42,9,Naad,0,L,Regular
2020,4,5,Patrick,126,132.42,9,Naad,0,L,Regular
2020,4,11,Logan,111.32,130.14,7,Conor,0,L,Regular
2020,4,11,Logan,111.32,130.14,7,Conor,0,L,Regular
2020,4,3,Tommy,164.5,132.02,1,Tom,1,W,Regular
2020,4,3,Tommy,164.5,132.02,1,Tom,1,W,Regular
2020,4,10,Zac,148.08,114.3,6,Aviel,1,W,Regular
2020,4,10,Zac,148.08,114.3,6,Aviel,1,W,Regular
2020,5,4,JP,170.48,126.88,12,Randal,1,W,Regular
2020,5,4,JP,170.48,126.88,12,Randal,1,W,Regular
2020,5,6,Aviel,154.56,111.12,2,Montel,1,W,Regular
2020,5,6,Aviel,154.56,111.12,2,Montel,1,W,Regular
2020,5,2,Montel,111.12,154.56,6,Aviel,0,L,Regular
2020,5,2,Montel,111.12,154.56,6,Aviel,0,L,Regular
2020,5,1,Tom,139.3,95,11,Logan,1,W,Regular
2020,5,1,Tom,139.3,95,11,Logan,1,W,Regular
2020,5,7,Conor,139.5,145.9,9,Naad,0,L,Regular
2020,5,7,Conor,139.5,145.9,9,Naad,0,L,Regular
2020,5,12,Randal,126.88,170.48,4,JP,0,L,Regular
2020,5,12,Randal,126.88,170.48,4,JP,0,L,Regular
2020,5,9,Naad,145.9,139.5,7,Conor,1,W,Regular
2020,5,9,Naad,145.9,139.5,7,Conor,1,W,Regular
2020,5,8,Hosta,165.92,146.44,10,Zac,1,W,Regular
2020,5,8,Hosta,165.92,146.44,10,Zac,1,W,Regular
2020,5,5,Patrick,100.12,103,3,Tommy,0,L,Regular
2020,5,5,Patrick,100.12,103,3,Tommy,0,L,Regular
2020,5,11,Logan,95,139.3,1,Tom,0,L,Regular
2020,5,11,Logan,95,139.3,1,Tom,0,L,Regular
2020,5,3,Tommy,103,100.12,5,Patrick,1,W,Regular
2020,5,3,Tommy,103,100.12,5,Patrick,1,W,Regular
